company,intitule,contrat,departement,salaire_annuel,remote,experience_requise,etude_requise,source
Uni-médias,"Responsable Social Média Wedemain, CDI, F/H",0.0,75.0,,1.0,,,Media
Infopro Digital,Paid Media Manager (H/F/X),0.0,94.0,,2.0,0.0, Bac +4,Media
Dupont Lewis,Head of Social Media,0.0,75.0,,2.0,,,Media
HAPPN,Sales Media Manager (M/F),0.0,75.0,,,36.0,,Media
Ministère de l'Intérieur,Adjoint au Chef de section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Rédacteur/trice - concepteur/trice à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Journaliste reporter d'images à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Labelium Group,Consultant Média Performance - Freelance,0.0,75.0,,0.0,48.0,,Media
Société Générale,"Chargé de middle office agency financements d'actifs et d'acquisition (lbo, media telecom, acquisitions strategiques) et corporate",0.0,92.0,,,84.0,8.0,Media
BNP Paribas,Stage - Media Relations Assistant H/F,11.0,92.0,,0.0,,7.0,Media
Hermès,STAGE - Assistant Chef de Projets Media (H/F),11.0,75.0,,,6.0,,Media
Stride-up,Growth Manager Paid Media F/H,0.0,75.0,72800.0,2.0,,,Media
Sanofi,stage 6 mois – communication médias sociaux,11.0,94.0,,0.0,,8.0,Media
Club Employés,Social Media Manager - Stage - Lyon - H/F,11.0,69.0,,1.0,, Bac +4,Media
freelance.com,Social Media Manager (f/h),1.0,92.0,,2.0,24.0,8,Media
Klox,CDI - Consultant Paid Media Senior H/F,0.0,75.0,,1.0,24.0,8,Media
ATR,ATR - Content & Media Relations Specialist  (H/F),0.0,31.0,,2.0,,,Media
Catalina France,Key account manager (agences médias) F/H,0.0,92.0,,2.0,,,Media
L’Occitane,CDI - Responsable Acquisition & Média F/H - Erborian,0.0,75.0,,,60.0,8,Media
Ipsos,Chef de projet technique média H/F/NB,0.0,75.0,,2.0,,,Media
My Little Paris,Stage - Assistant(e) chef de projets média,11.0,75.0,,2.0,,,Media
HomeExchange,Social Media Manager,0.0,75.0,,1.0,,,Media
Cdiscount,BUSINESS ANALYST RETAIL MEDIA F/H,0.0,33.0,,2.0,24.0,8,Media
Sanofi,Media Relations Intern,0.0,92.0,,0.0,,,Media
Tenzing Conseil,Manager Transformations durables H/F,0.0,75.0,,2.0,84.0,,Media
SAPER VEDERE,Social Media Analyst & Conseil en Influence / stage,11.0,,,2.0,,,Media
Eskimoz,Consultant Paid Media H/F - stage,11.0,92.0,,1.0,,,Media
Talan,Manager Média H/F,0.0,75.0,,2.0,24.0,8.0,Media
datashake,Consultant Paid Media Senior - CDI - Paris,0.0,75.0,,1.0,24.0,8,Media
datashake,Team Lead Paid Media (SEA/SMA),0.0,75.0,,1.0,24.0,8,Media
Synamedia,Ingénieur R&D en Streaming Média  H/F,0.0,35.0,96460.0,2.0,36.0,,Media
Heetch,CDI - Social Media Manager,0.0,75.0,,2.0,60.0,,Media
Klox,Stage - Consultant.e Paid Média / Media Trader H/F,11.0,75.0,,2.0,,,Media
Uni-médias,"Responsable Social Média Wedemain, CDI, F/H",0.0,75.0,,1.0,,,Media
Infopro Digital,Paid Media Manager (H/F/X),0.0,94.0,,2.0,0.0, Bac +4,Media
Dupont Lewis,Head of Social Media,0.0,75.0,,2.0,,,Media
HAPPN,Sales Media Manager (M/F),0.0,75.0,,,36.0,,Media
Ministère de l'Intérieur,Adjoint au Chef de section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Rédacteur/trice - concepteur/trice à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Journaliste reporter d'images à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Labelium Group,Consultant Média Performance - Freelance,0.0,75.0,,0.0,48.0,,Media
Société Générale,"Chargé de middle office agency financements d'actifs et d'acquisition (lbo, media telecom, acquisitions strategiques) et corporate",0.0,92.0,,,84.0,8.0,Media
BNP Paribas,Stage - Media Relations Assistant H/F,11.0,92.0,,0.0,,7.0,Media
Hermès,STAGE - Assistant Chef de Projets Media (H/F),11.0,75.0,,,6.0,,Media
Stride-up,Growth Manager Paid Media F/H,0.0,75.0,72800.0,2.0,,,Media
Sanofi,stage 6 mois – communication médias sociaux,11.0,94.0,,0.0,,8.0,Media
Club Employés,Social Media Manager - Stage - Lyon - H/F,11.0,69.0,,1.0,, Bac +4,Media
freelance.com,Social Media Manager (f/h),1.0,92.0,,2.0,24.0,8,Media
Klox,CDI - Consultant Paid Media Senior H/F,0.0,75.0,,1.0,24.0,8,Media
ATR,ATR - Content & Media Relations Specialist  (H/F),0.0,31.0,,2.0,,,Media
Catalina France,Key account manager (agences médias) F/H,0.0,92.0,,2.0,,,Media
L’Occitane,CDI - Responsable Acquisition & Média F/H - Erborian,0.0,75.0,,,60.0,8,Media
Ipsos,Chef de projet technique média H/F/NB,0.0,75.0,,2.0,,,Media
My Little Paris,Stage - Assistant(e) chef de projets média,11.0,75.0,,2.0,,,Media
HomeExchange,Social Media Manager,0.0,75.0,,1.0,,,Media
Cdiscount,BUSINESS ANALYST RETAIL MEDIA F/H,0.0,33.0,,2.0,24.0,8,Media
Sanofi,Media Relations Intern,0.0,92.0,,0.0,,,Media
Tenzing Conseil,Manager Transformations durables H/F,0.0,75.0,,2.0,84.0,,Media
SAPER VEDERE,Social Media Analyst & Conseil en Influence / stage,11.0,,,2.0,,,Media
Eskimoz,Consultant Paid Media H/F - stage,11.0,92.0,,1.0,,,Media
Talan,Manager Média H/F,0.0,75.0,,2.0,24.0,8.0,Media
datashake,Consultant Paid Media Senior - CDI - Paris,0.0,75.0,,1.0,24.0,8,Media
datashake,Team Lead Paid Media (SEA/SMA),0.0,75.0,,1.0,24.0,8,Media
Synamedia,Ingénieur R&D en Streaming Média  H/F,0.0,35.0,96460.0,2.0,36.0,,Media
Heetch,CDI - Social Media Manager,0.0,75.0,,2.0,60.0,,Media
Klox,Stage - Consultant.e Paid Média / Media Trader H/F,11.0,75.0,,2.0,,,Media
Uni-médias,"Responsable Social Média Wedemain, CDI, F/H",0.0,75.0,,1.0,,,Media
Infopro Digital,Paid Media Manager (H/F/X),0.0,94.0,,2.0,0.0, Bac +4,Media
Dupont Lewis,Head of Social Media,0.0,75.0,,2.0,,,Media
HAPPN,Sales Media Manager (M/F),0.0,75.0,,,36.0,,Media
Ministère de l'Intérieur,Adjoint au Chef de section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Rédacteur/trice - concepteur/trice à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Journaliste reporter d'images à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Labelium Group,Consultant Média Performance - Freelance,0.0,75.0,,0.0,48.0,,Media
Société Générale,"Chargé de middle office agency financements d'actifs et d'acquisition (lbo, media telecom, acquisitions strategiques) et corporate",0.0,92.0,,,84.0,8.0,Media
BNP Paribas,Stage - Media Relations Assistant H/F,11.0,92.0,,0.0,,7.0,Media
Hermès,STAGE - Assistant Chef de Projets Media (H/F),11.0,75.0,,,6.0,,Media
Stride-up,Growth Manager Paid Media F/H,0.0,75.0,72800.0,2.0,,,Media
Sanofi,stage 6 mois – communication médias sociaux,11.0,94.0,,0.0,,8.0,Media
Club Employés,Social Media Manager - Stage - Lyon - H/F,11.0,69.0,,1.0,, Bac +4,Media
freelance.com,Social Media Manager (f/h),1.0,92.0,,2.0,24.0,8,Media
Klox,CDI - Consultant Paid Media Senior H/F,0.0,75.0,,1.0,24.0,8,Media
ATR,ATR - Content & Media Relations Specialist  (H/F),0.0,31.0,,2.0,,,Media
Catalina France,Key account manager (agences médias) F/H,0.0,92.0,,2.0,,,Media
L’Occitane,CDI - Responsable Acquisition & Média F/H - Erborian,0.0,75.0,,,60.0,8,Media
Ipsos,Chef de projet technique média H/F/NB,0.0,75.0,,2.0,,,Media
My Little Paris,Stage - Assistant(e) chef de projets média,11.0,75.0,,2.0,,,Media
HomeExchange,Social Media Manager,0.0,75.0,,1.0,,,Media
Cdiscount,BUSINESS ANALYST RETAIL MEDIA F/H,0.0,33.0,,2.0,24.0,8,Media
Sanofi,Media Relations Intern,0.0,92.0,,0.0,,,Media
Tenzing Conseil,Manager Transformations durables H/F,0.0,75.0,,2.0,84.0,,Media
SAPER VEDERE,Social Media Analyst & Conseil en Influence / stage,11.0,,,2.0,,,Media
Eskimoz,Consultant Paid Media H/F - stage,11.0,92.0,,1.0,,,Media
Talan,Manager Média H/F,0.0,75.0,,2.0,24.0,8.0,Media
datashake,Consultant Paid Media Senior - CDI - Paris,0.0,75.0,,1.0,24.0,8,Media
datashake,Team Lead Paid Media (SEA/SMA),0.0,75.0,,1.0,24.0,8,Media
Synamedia,Ingénieur R&D en Streaming Média  H/F,0.0,35.0,96460.0,2.0,36.0,,Media
Heetch,CDI - Social Media Manager,0.0,75.0,,2.0,60.0,,Media
Klox,Stage - Consultant.e Paid Média / Media Trader H/F,11.0,75.0,,2.0,,,Media
Uni-médias,"Responsable Social Média Wedemain, CDI, F/H",0.0,75.0,,1.0,,,Media
Infopro Digital,Paid Media Manager (H/F/X),0.0,94.0,,2.0,0.0, Bac +4,Media
Dupont Lewis,Head of Social Media,0.0,75.0,,2.0,,,Media
HAPPN,Sales Media Manager (M/F),0.0,75.0,,,36.0,,Media
Ministère de l'Intérieur,Adjoint au Chef de section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Rédacteur/trice - concepteur/trice à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Journaliste reporter d'images à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Labelium Group,Consultant Média Performance - Freelance,0.0,75.0,,0.0,48.0,,Media
Société Générale,"Chargé de middle office agency financements d'actifs et d'acquisition (lbo, media telecom, acquisitions strategiques) et corporate",0.0,92.0,,,84.0,8.0,Media
BNP Paribas,Stage - Media Relations Assistant H/F,11.0,92.0,,0.0,,7.0,Media
Hermès,STAGE - Assistant Chef de Projets Media (H/F),11.0,75.0,,,6.0,,Media
Stride-up,Growth Manager Paid Media F/H,0.0,75.0,72800.0,2.0,,,Media
Sanofi,stage 6 mois – communication médias sociaux,11.0,94.0,,0.0,,8.0,Media
Club Employés,Social Media Manager - Stage - Lyon - H/F,11.0,69.0,,1.0,, Bac +4,Media
freelance.com,Social Media Manager (f/h),1.0,92.0,,2.0,24.0,8,Media
Klox,CDI - Consultant Paid Media Senior H/F,0.0,75.0,,1.0,24.0,8,Media
ATR,ATR - Content & Media Relations Specialist  (H/F),0.0,31.0,,2.0,,,Media
Catalina France,Key account manager (agences médias) F/H,0.0,92.0,,2.0,,,Media
L’Occitane,CDI - Responsable Acquisition & Média F/H - Erborian,0.0,75.0,,,60.0,8,Media
Ipsos,Chef de projet technique média H/F/NB,0.0,75.0,,2.0,,,Media
My Little Paris,Stage - Assistant(e) chef de projets média,11.0,75.0,,2.0,,,Media
HomeExchange,Social Media Manager,0.0,75.0,,1.0,,,Media
Cdiscount,BUSINESS ANALYST RETAIL MEDIA F/H,0.0,33.0,,2.0,24.0,8,Media
Sanofi,Media Relations Intern,0.0,92.0,,0.0,,,Media
Tenzing Conseil,Manager Transformations durables H/F,0.0,75.0,,2.0,84.0,,Media
SAPER VEDERE,Social Media Analyst & Conseil en Influence / stage,11.0,,,2.0,,,Media
Eskimoz,Consultant Paid Media H/F - stage,11.0,92.0,,1.0,,,Media
Talan,Manager Média H/F,0.0,75.0,,2.0,24.0,8.0,Media
datashake,Consultant Paid Media Senior - CDI - Paris,0.0,75.0,,1.0,24.0,8,Media
datashake,Team Lead Paid Media (SEA/SMA),0.0,75.0,,1.0,24.0,8,Media
Synamedia,Ingénieur R&D en Streaming Média  H/F,0.0,35.0,96460.0,2.0,36.0,,Media
Heetch,CDI - Social Media Manager,0.0,75.0,,2.0,60.0,,Media
Klox,Stage - Consultant.e Paid Média / Media Trader H/F,11.0,75.0,,2.0,,,Media
Uni-médias,"Responsable Social Média Wedemain, CDI, F/H",0.0,75.0,,1.0,,,Media
Infopro Digital,Paid Media Manager (H/F/X),0.0,94.0,,2.0,0.0, Bac +4,Media
Dupont Lewis,Head of Social Media,0.0,75.0,,2.0,,,Media
HAPPN,Sales Media Manager (M/F),0.0,75.0,,,36.0,,Media
Ministère de l'Intérieur,Adjoint au Chef de section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Rédacteur/trice - concepteur/trice à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Journaliste reporter d'images à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Labelium Group,Consultant Média Performance - Freelance,0.0,75.0,,0.0,48.0,,Media
Société Générale,"Chargé de middle office agency financements d'actifs et d'acquisition (lbo, media telecom, acquisitions strategiques) et corporate",0.0,92.0,,,84.0,8.0,Media
BNP Paribas,Stage - Media Relations Assistant H/F,11.0,92.0,,0.0,,7.0,Media
Hermès,STAGE - Assistant Chef de Projets Media (H/F),11.0,75.0,,,6.0,,Media
Stride-up,Growth Manager Paid Media F/H,0.0,75.0,72800.0,2.0,,,Media
Sanofi,stage 6 mois – communication médias sociaux,11.0,94.0,,0.0,,8.0,Media
Club Employés,Social Media Manager - Stage - Lyon - H/F,11.0,69.0,,1.0,, Bac +4,Media
freelance.com,Social Media Manager (f/h),1.0,92.0,,2.0,24.0,8,Media
Klox,CDI - Consultant Paid Media Senior H/F,0.0,75.0,,1.0,24.0,8,Media
ATR,ATR - Content & Media Relations Specialist  (H/F),0.0,31.0,,2.0,,,Media
Catalina France,Key account manager (agences médias) F/H,0.0,92.0,,2.0,,,Media
L’Occitane,CDI - Responsable Acquisition & Média F/H - Erborian,0.0,75.0,,,60.0,8,Media
Ipsos,Chef de projet technique média H/F/NB,0.0,75.0,,2.0,,,Media
My Little Paris,Stage - Assistant(e) chef de projets média,11.0,75.0,,2.0,,,Media
HomeExchange,Social Media Manager,0.0,75.0,,1.0,,,Media
Cdiscount,BUSINESS ANALYST RETAIL MEDIA F/H,0.0,33.0,,2.0,24.0,8,Media
Sanofi,Media Relations Intern,0.0,92.0,,0.0,,,Media
Tenzing Conseil,Manager Transformations durables H/F,0.0,75.0,,2.0,84.0,,Media
SAPER VEDERE,Social Media Analyst & Conseil en Influence / stage,11.0,,,2.0,,,Media
Eskimoz,Consultant Paid Media H/F - stage,11.0,92.0,,1.0,,,Media
Talan,Manager Média H/F,0.0,75.0,,2.0,24.0,8.0,Media
datashake,Consultant Paid Media Senior - CDI - Paris,0.0,75.0,,1.0,24.0,8,Media
datashake,Team Lead Paid Media (SEA/SMA),0.0,75.0,,1.0,24.0,8,Media
Synamedia,Ingénieur R&D en Streaming Média  H/F,0.0,35.0,96460.0,2.0,36.0,,Media
Heetch,CDI - Social Media Manager,0.0,75.0,,2.0,60.0,,Media
Klox,Stage - Consultant.e Paid Média / Media Trader H/F,11.0,75.0,,2.0,,,Media
Uni-médias,"Responsable Social Média Wedemain, CDI, F/H",0.0,75.0,,1.0,,,Media
Infopro Digital,Paid Media Manager (H/F/X),0.0,94.0,,2.0,0.0, Bac +4,Media
Dupont Lewis,Head of Social Media,0.0,75.0,,2.0,,,Media
HAPPN,Sales Media Manager (M/F),0.0,75.0,,,36.0,,Media
Ministère de l'Intérieur,Adjoint au Chef de section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Rédacteur/trice - concepteur/trice à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Journaliste reporter d'images à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Labelium Group,Consultant Média Performance - Freelance,0.0,75.0,,0.0,48.0,,Media
Société Générale,"Chargé de middle office agency financements d'actifs et d'acquisition (lbo, media telecom, acquisitions strategiques) et corporate",0.0,92.0,,,84.0,8.0,Media
BNP Paribas,Stage - Media Relations Assistant H/F,11.0,92.0,,0.0,,7.0,Media
Hermès,STAGE - Assistant Chef de Projets Media (H/F),11.0,75.0,,,6.0,,Media
Stride-up,Growth Manager Paid Media F/H,0.0,75.0,72800.0,2.0,,,Media
Sanofi,stage 6 mois – communication médias sociaux,11.0,94.0,,0.0,,8.0,Media
Club Employés,Social Media Manager - Stage - Lyon - H/F,11.0,69.0,,1.0,, Bac +4,Media
freelance.com,Social Media Manager (f/h),1.0,92.0,,2.0,24.0,8,Media
Klox,CDI - Consultant Paid Media Senior H/F,0.0,75.0,,1.0,24.0,8,Media
ATR,ATR - Content & Media Relations Specialist  (H/F),0.0,31.0,,2.0,,,Media
Catalina France,Key account manager (agences médias) F/H,0.0,92.0,,2.0,,,Media
L’Occitane,CDI - Responsable Acquisition & Média F/H - Erborian,0.0,75.0,,,60.0,8,Media
Ipsos,Chef de projet technique média H/F/NB,0.0,75.0,,2.0,,,Media
My Little Paris,Stage - Assistant(e) chef de projets média,11.0,75.0,,2.0,,,Media
HomeExchange,Social Media Manager,0.0,75.0,,1.0,,,Media
Cdiscount,BUSINESS ANALYST RETAIL MEDIA F/H,0.0,33.0,,2.0,24.0,8,Media
Sanofi,Media Relations Intern,0.0,92.0,,0.0,,,Media
Tenzing Conseil,Manager Transformations durables H/F,0.0,75.0,,2.0,84.0,,Media
SAPER VEDERE,Social Media Analyst & Conseil en Influence / stage,11.0,,,2.0,,,Media
Eskimoz,Consultant Paid Media H/F - stage,11.0,92.0,,1.0,,,Media
Talan,Manager Média H/F,0.0,75.0,,2.0,24.0,8.0,Media
datashake,Consultant Paid Media Senior - CDI - Paris,0.0,75.0,,1.0,24.0,8,Media
datashake,Team Lead Paid Media (SEA/SMA),0.0,75.0,,1.0,24.0,8,Media
Synamedia,Ingénieur R&D en Streaming Média  H/F,0.0,35.0,96460.0,2.0,36.0,,Media
Heetch,CDI - Social Media Manager,0.0,75.0,,2.0,60.0,,Media
Klox,Stage - Consultant.e Paid Média / Media Trader H/F,11.0,75.0,,2.0,,,Media
Uni-médias,"Responsable Social Média Wedemain, CDI, F/H",0.0,75.0,,1.0,,,Media
Infopro Digital,Paid Media Manager (H/F/X),0.0,94.0,,2.0,0.0, Bac +4,Media
Dupont Lewis,Head of Social Media,0.0,75.0,,2.0,,,Media
HAPPN,Sales Media Manager (M/F),0.0,75.0,,,36.0,,Media
Ministère de l'Intérieur,Adjoint au Chef de section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Rédacteur/trice - concepteur/trice à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Journaliste reporter d'images à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Labelium Group,Consultant Média Performance - Freelance,0.0,75.0,,0.0,48.0,,Media
Société Générale,"Chargé de middle office agency financements d'actifs et d'acquisition (lbo, media telecom, acquisitions strategiques) et corporate",0.0,92.0,,,84.0,8.0,Media
BNP Paribas,Stage - Media Relations Assistant H/F,11.0,92.0,,0.0,,7.0,Media
Hermès,STAGE - Assistant Chef de Projets Media (H/F),11.0,75.0,,,6.0,,Media
Stride-up,Growth Manager Paid Media F/H,0.0,75.0,72800.0,2.0,,,Media
Sanofi,stage 6 mois – communication médias sociaux,11.0,94.0,,0.0,,8.0,Media
Club Employés,Social Media Manager - Stage - Lyon - H/F,11.0,69.0,,1.0,, Bac +4,Media
freelance.com,Social Media Manager (f/h),1.0,92.0,,2.0,24.0,8,Media
Klox,CDI - Consultant Paid Media Senior H/F,0.0,75.0,,1.0,24.0,8,Media
ATR,ATR - Content & Media Relations Specialist  (H/F),0.0,31.0,,2.0,,,Media
Catalina France,Key account manager (agences médias) F/H,0.0,92.0,,2.0,,,Media
L’Occitane,CDI - Responsable Acquisition & Média F/H - Erborian,0.0,75.0,,,60.0,8,Media
Ipsos,Chef de projet technique média H/F/NB,0.0,75.0,,2.0,,,Media
My Little Paris,Stage - Assistant(e) chef de projets média,11.0,75.0,,2.0,,,Media
HomeExchange,Social Media Manager,0.0,75.0,,1.0,,,Media
Cdiscount,BUSINESS ANALYST RETAIL MEDIA F/H,0.0,33.0,,2.0,24.0,8,Media
Sanofi,Media Relations Intern,0.0,92.0,,0.0,,,Media
Tenzing Conseil,Manager Transformations durables H/F,0.0,75.0,,2.0,84.0,,Media
SAPER VEDERE,Social Media Analyst & Conseil en Influence / stage,11.0,,,2.0,,,Media
Eskimoz,Consultant Paid Media H/F - stage,11.0,92.0,,1.0,,,Media
Talan,Manager Média H/F,0.0,75.0,,2.0,24.0,8.0,Media
datashake,Consultant Paid Media Senior - CDI - Paris,0.0,75.0,,1.0,24.0,8,Media
datashake,Team Lead Paid Media (SEA/SMA),0.0,75.0,,1.0,24.0,8,Media
Synamedia,Ingénieur R&D en Streaming Média  H/F,0.0,35.0,96460.0,2.0,36.0,,Media
Heetch,CDI - Social Media Manager,0.0,75.0,,2.0,60.0,,Media
Klox,Stage - Consultant.e Paid Média / Media Trader H/F,11.0,75.0,,2.0,,,Media
Uni-médias,"Responsable Social Média Wedemain, CDI, F/H",0.0,75.0,,1.0,,,Media
Infopro Digital,Paid Media Manager (H/F/X),0.0,94.0,,2.0,0.0, Bac +4,Media
Dupont Lewis,Head of Social Media,0.0,75.0,,2.0,,,Media
HAPPN,Sales Media Manager (M/F),0.0,75.0,,,36.0,,Media
Ministère de l'Intérieur,Adjoint au Chef de section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Rédacteur/trice - concepteur/trice à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Ministère de l'Intérieur,Journaliste reporter d'images à la section des médias sociaux,0.0,92.0,,1.0,,,Media
Labelium Group,Consultant Média Performance - Freelance,0.0,75.0,,0.0,48.0,,Media
Société Générale,"Chargé de middle office agency financements d'actifs et d'acquisition (lbo, media telecom, acquisitions strategiques) et corporate",0.0,92.0,,,84.0,8.0,Media
BNP Paribas,Stage - Media Relations Assistant H/F,11.0,92.0,,0.0,,7.0,Media
Hermès,STAGE - Assistant Chef de Projets Media (H/F),11.0,75.0,,,6.0,,Media
Stride-up,Growth Manager Paid Media F/H,0.0,75.0,72800.0,2.0,,,Media
Sanofi,stage 6 mois – communication médias sociaux,11.0,94.0,,0.0,,8.0,Media
Club Employés,Social Media Manager - Stage - Lyon - H/F,11.0,69.0,,1.0,, Bac +4,Media
freelance.com,Social Media Manager (f/h),1.0,92.0,,2.0,24.0,8,Media
Klox,CDI - Consultant Paid Media Senior H/F,0.0,75.0,,1.0,24.0,8,Media
ATR,ATR - Content & Media Relations Specialist  (H/F),0.0,31.0,,2.0,,,Media
Catalina France,Key account manager (agences médias) F/H,0.0,92.0,,2.0,,,Media
L’Occitane,CDI - Responsable Acquisition & Média F/H - Erborian,0.0,75.0,,,60.0,8,Media
Ipsos,Chef de projet technique média H/F/NB,0.0,75.0,,2.0,,,Media
My Little Paris,Stage - Assistant(e) chef de projets média,11.0,75.0,,2.0,,,Media
HomeExchange,Social Media Manager,0.0,75.0,,1.0,,,Media
Cdiscount,BUSINESS ANALYST RETAIL MEDIA F/H,0.0,33.0,,2.0,24.0,8,Media
Sanofi,Media Relations Intern,0.0,92.0,,0.0,,,Media
Tenzing Conseil,Manager Transformations durables H/F,0.0,75.0,,2.0,84.0,,Media
SAPER VEDERE,Social Media Analyst & Conseil en Influence / stage,11.0,,,2.0,,,Media
Eskimoz,Consultant Paid Media H/F - stage,11.0,92.0,,1.0,,,Media
Talan,Manager Média H/F,0.0,75.0,,2.0,24.0,8.0,Media
datashake,Consultant Paid Media Senior - CDI - Paris,0.0,75.0,,1.0,24.0,8,Media
datashake,Team Lead Paid Media (SEA/SMA),0.0,75.0,,1.0,24.0,8,Media
